Production_Year,DateSend, SumNet ,CountTruck
6364,15/12/2020 0:00," 2,395.10 ",126
6364,16/12/2020 0:00," 6,886.48 ",377
6364,17/12/2020 0:00," 7,882.10 ",426
6364,18/12/2020 0:00," 10,388.84 ",560
6364,19/12/2020 0:00," 10,966.62 ",590
6364,20/12/2020 0:00," 10,885.17 ",594
6364,21/12/2020 0:00," 11,354.86 ",620
6364,22/12/2020 0:00," 12,114.70 ",650
6364,23/12/2020 0:00," 15,722.43 ",841
6364,24/12/2020 0:00," 12,678.35 ",687
6364,25/12/2020 0:00," 12,862.59 ",694
6364,26/12/2020 0:00," 13,978.38 ",755
6364,27/12/2020 0:00," 13,292.79 ",727
6364,28/12/2020 0:00," 15,260.47 ",843
6364,29/12/2020 0:00," 13,824.52 ",792
6364,5/1/2021 0:00," 10,113.90 ",535
6364,6/1/2021 0:00," 15,649.65 ",820
6364,7/1/2021 0:00," 17,774.75 ",940
6364,8/1/2021 0:00," 16,993.76 ",907
6364,9/1/2021 0:00," 18,143.64 ",971
6364,10/1/2021 0:00," 24,421.71 ",1288
6364,11/1/2021 0:00," 24,137.80 ",1273
6364,12/1/2021 0:00," 23,251.12 ",1222
6364,13/1/2021 0:00," 22,557.49 ",1173
6364,14/1/2021 0:00," 23,511.36 ",1221
6364,15/1/2021 0:00," 23,053.69 ",1198
6364,16/1/2021 0:00," 25,470.59 ",1327
6364,17/1/2021 0:00," 25,891.51 ",1357
6364,18/1/2021 0:00," 25,019.90 ",1315
6364,19/1/2021 0:00," 24,074.25 ",1251
6364,20/1/2021 0:00," 21,677.70 ",1133
6364,21/1/2021 0:00," 22,105.44 ",1146
6364,22/1/2021 0:00," 23,729.85 ",1232
6364,23/1/2021 0:00," 22,554.09 ",1180
6364,24/1/2021 0:00," 21,619.36 ",1135
6364,25/1/2021 0:00," 21,241.04 ",1109
6364,26/1/2021 0:00," 19,474.86 ",1014
6364,27/1/2021 0:00," 20,183.75 ",1048
6364,28/1/2021 0:00," 18,270.17 ",952
6364,29/1/2021 0:00," 19,994.10 ",1039
6364,30/1/2021 0:00," 20,153.89 ",1048
6364,31/1/2021 0:00," 20,253.64 ",1056
6364,1/2/2021 0:00," 19,089.26 ",986
6364,2/2/2021 0:00," 19,782.70 ",1029
6364,3/2/2021 0:00," 18,898.24 ",996
6364,4/2/2021 0:00," 17,732.59 ",924
6364,5/2/2021 0:00," 19,696.30 ",1022
6364,6/2/2021 0:00," 17,738.37 ",918
6364,7/2/2021 0:00," 15,806.51 ",842
6364,8/2/2021 0:00," 17,098.10 ",894
6364,9/2/2021 0:00," 18,994.91 ",1010
6364,10/2/2021 0:00," 6,950.55 ",369
6364,11/2/2021 0:00," 14,501.85 ",774
6364,12/2/2021 0:00," 17,632.03 ",923
6364,13/2/2021 0:00," 17,675.48 ",933
6364,14/2/2021 0:00," 18,583.12 ",979
6364,15/2/2021 0:00," 18,387.19 ",959
6364,16/2/2021 0:00," 17,183.83 ",901
6364,17/2/2021 0:00," 16,326.16 ",855
6364,18/2/2021 0:00," 15,466.17 ",821
6364,19/2/2021 0:00," 13,374.75 ",709
6364,20/2/2021 0:00," 13,865.61 ",746
6364,21/2/2021 0:00," 12,745.94 ",683
6364,22/2/2021 0:00," 11,598.24 ",619
6364,23/2/2021 0:00," 11,015.34 ",579
6364,24/2/2021 0:00," 10,755.28 ",574
6364,25/2/2021 0:00," 9,629.77 ",509
6364,26/2/2021 0:00," 9,130.69 ",494
6364,27/2/2021 0:00," 8,080.93 ",438
6364,28/2/2021 0:00," 7,008.44 ",386
6364,1/3/2021 0:00," 6,728.53 ",382
6364,2/3/2021 0:00," 4,687.58 ",275
6364,3/3/2021 0:00," 3,370.37 ",197
6364,4/3/2021 0:00," 1,667.13 ",103
6364,5/3/2021 0:00," 1,491.97 ",94
