Date,Year,Month,SumNet
2062-01-01,62,1,11861.663446573511
2062-01-02,62,1,28570.71488588757
2062-01-03,62,1,22227.82431253075
2062-01-04,62,1,18361.096041714063
2062-01-05,62,1,5524.540572830659
2062-01-06,62,1,5523.841089749877
2062-01-07,62,1,2684.424752877784
2062-01-08,62,1,26119.10822747312
2062-01-09,62,1,18432.335340553054
2062-01-10,62,1,21534.10475608532
2062-01-11,62,1,1596.950334578271
2062-01-12,62,1,29127.385712697836
2062-01-13,62,1,25140.83658321223
2062-01-14,62,1,7157.834209670009
2062-01-15,62,1,6272.924049005918
2062-01-16,62,1,6318.730785749581
2062-01-17,62,1,9823.025045826595
2062-01-18,62,1,16217.936517334898
2062-01-19,62,1,13526.405540621357
2062-01-20,62,1,9445.645065743216
2062-01-21,62,1,18743.733946949003
2062-01-22,62,1,5045.321958909213
2062-01-23,62,1,9472.194807521326
2062-01-24,62,1,11624.493455517058
2062-01-25,62,1,14226.029542294042
2062-01-26,62,1,23770.102880397393
2062-01-27,62,1,6790.539682592433
2062-01-28,62,1,15912.798713994736
2062-01-29,62,1,18180.02249699923
2062-01-30,62,1,2347.0619688799343
2062-01-31,62,1,18618.80070514171
2062-02-01,62,2,5945.199586931454
2062-02-02,62,2,2886.496196573106
2062-02-03,62,2,28517.680580346663
2062-02-04,62,2,29003.32895916222
2062-02-05,62,2,24443.52309537737
2062-02-06,62,2,9833.79930602775
2062-02-07,62,2,3832.491306185132
2062-02-08,62,2,20842.75776885255
2062-02-09,62,2,13764.422318448438
2062-02-10,62,2,4539.1088104985865
2062-02-11,62,2,15360.130393226835
2062-02-12,62,2,1997.2671123413334
2062-02-13,62,2,27370.291660284678
2062-02-14,62,2,8504.61946640049
2062-02-15,62,2,20213.146246265478
2062-02-16,62,2,10039.621206592918
2062-02-17,62,2,16081.972614156513
2062-02-18,62,2,16854.59810095511
2062-02-19,62,2,6360.779210240285
2062-02-20,62,2,29117.9542051722
2062-02-21,62,2,23478.851877472323
2062-02-22,62,2,28245.469305361483
2062-02-23,62,2,26949.993162401817
2062-02-24,62,2,18339.09938552147
2062-02-25,62,2,27734.352815670387
2062-02-26,62,2,3566.2825595056656
2062-02-27,62,2,6683.503010155211
2062-02-28,62,2,2311.591378405604
2062-03-01,62,3,10434.579592134665
2062-03-02,62,3,12271.641400994979
2062-03-03,62,3,8869.12192144298
2062-03-04,62,3,25033.38776540595
2062-03-05,62,3,11345.846474114089
2062-03-06,62,3,9147.10078093404
2062-03-07,62,3,16738.186411589206
2062-03-08,62,3,5086.802524268117
2062-03-09,62,3,24263.712441867152
2062-03-10,62,3,3161.9686667133537
2062-03-11,62,3,29619.721161415
2062-03-12,62,3,23395.098309603065
2062-03-13,62,3,6762.754764491
2062-03-14,62,3,1160.1413965844695
2062-03-15,62,3,24648.38142519019
2062-03-16,62,3,21498.862971580897
2062-03-17,62,3,22141.207873188632
2062-03-18,62,3,23366.840053892425
2062-03-19,62,3,3147.2949002886203
2062-03-20,62,3,11395.506127783905
